Date Time,User,IP,Login_Status,Server_Name
2013-09-23 03:46:31,pong,10.42.10.18,True,ae1-nfs20-stg
2013-09-23 16:46:56,pong,10.42.10.18,True,ae1-nfs20-stg
2013-09-25 22:47:38,pong,10.42.10.18,True,ae1-nfs20-stg
2013-09-25 23:35:35,root,10.42.10.2,True,ae1-nfs20-stg
2013-09-25 23:35:48,ec2-user,10.42.10.2,True,ae1-nfs20-stg
2013-09-20 20:20:50,ec2-user,10.42.10.18,True,ae1-nfs20-stg
2013-09-20 22:57:31,root,10.24.32.55,True,ae1-nfs20-stg
2013-09-20 23:05:40,root,10.24.32.55,True,ae1-nfs20-stg
2013-09-22 00:23:21,pong,10.42.10.18,True,ae1-nfs20-stg
2013-09-22 20:46:51,pong,10.42.10.18,True,nfssrv55-prd
2013-09-23 09:45:28,pong,10.42.10.18,True,nfssrv55-prd
2013-09-23 14:35:02,pong,10.42.10.18,True,nfssrv55-prd
2013-09-23 15:54:49,pong,10.42.10.18,True,nfssrv55-prd
2013-09-24 14:04:19,pong,10.42.10.18,True,nfssrv55-prd
2013-09-25 15:47:58,pong,10.42.10.18,True,nfssrv55-prd
2013-09-25 16:50:34,root,10.42.10.2,True,nfssrv55-prd
2013-09-25 17:46:43,kantselovich,10.42.10.2,True,nfssrv55-prd
2013-09-25 17:48:21,kantselovich,10.42.10.2,True,nfssrv55-prd
2013-09-19 17:13:06,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 10:34:46,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 13:26:56,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 13:27:36,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 13:27:50,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 13:28:06,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 13:28:20,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 15:53:00,pong,10.42.10.18,True,nfssrv55-prd
2013-09-20 15:53:44,pong,10.42.10.18,True,nfssrv55-prd
2013-09-21 17:22:20,pong,10.42.10.18,True,nfssrv55-prd
2013-09-22 11:20:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-22 11:33:03,root,10.24.32.55,True,nfssrv56-stg
2013-09-22 11:33:09,root,10.24.32.55,True,nfssrv56-stg
2013-09-22 11:33:10,root,10.24.32.55,True,nfssrv56-stg
2013-09-22 11:34:05,root,10.24.32.55,True,nfssrv56-stg
2013-09-22 11:34:07,root,10.24.32.55,True,nfssrv56-stg
2013-09-23 11:20:02,root,10.24.32.55,True,nfssrv56-stg
2013-09-23 11:33:51,root,10.24.32.55,True,nfssrv56-stg
2013-09-23 11:33:55,root,10.24.32.55,True,nfssrv56-stg
